variant,fires,new_fires,per_user,resid_caught,resid_rec_real,resid_rec_up,stuck_caught,low_fires,low_fire_pct,U_real,U_up,U_low_real,U_low_up,harm_pct_real,harm_pct_up,med_min_into_run,tim0604
G0 N3 floor160,127,116,"{'B': 42, 'F': 32, 'tim': 26, 'A': 17, 'C': 4, 'E': 4, 'D': 2}",7,2.35,6.36,35,19,15.0,27.4,396.9,1.8,51.8,6.6,13.1,11.0,True
G0 N3 nofloor,157,141,"{'B': 47, 'F': 37, 'tim': 34, 'A': 19, 'C': 8, 'E': 7, 'D': 5}",6,2.05,5.46,34,24,15.3,25.8,361.2,1.3,38.6,5.0,10.7,10.4,True
G1 (+low80) N3 f160,118,108,"{'B': 41, 'F': 29, 'tim': 25, 'A': 15, 'E': 4, 'C': 2, 'D': 2}",7,2.3,6.36,35,17,14.4,24.5,374.8,1.5,43.5,6.1,11.6,11.2,True
G1b (+low100) N3 f160,92,86,"{'B': 30, 'F': 24, 'tim': 20, 'A': 13, 'E': 3, 'C': 1, 'D': 1}",4,2.0,5.2,27,15,16.3,18.8,284.1,1.0,36.8,5.1,12.9,15.0,True
G2 (+IOB<p75conf) N3 f160,46,41,"{'F': 19, 'B': 14, 'A': 7, 'tim': 3, 'E': 2, 'D': 1}",3,0.05,2.01,10,7,15.2,6.8,122.8,0.0,14.2,0.0,11.6,15.0,False
G3 (+accl>=0) N3 f160,87,80,"{'B': 32, 'F': 21, 'tim': 17, 'A': 11, 'E': 4, 'C': 2}",4,1.45,4.8,26,13,14.9,17.5,303.7,1.3,36.7,7.4,12.1,15.0,True
G4 N4 f160,92,87,"{'B': 29, 'F': 24, 'tim': 20, 'A': 13, 'E': 4, 'C': 2}",5,1.25,4.8,28,14,15.2,17.0,270.9,1.2,35.7,7.1,13.2,17.1,True
G1+G2+G3 N3 f160,28,25,"{'B': 11, 'F': 10, 'A': 4, 'tim': 2, 'E': 1}",1,0.0,1.75,8,2,7.1,4.0,93.8,0.0,4.3,0.0,4.6,15.3,False
G1b+G2 N3 f160,26,24,"{'F': 11, 'B': 10, 'A': 3, 'E': 1, 'tim': 1}",1,0.0,1.75,5,4,15.4,3.4,77.1,0.0,7.4,0.0,9.5,22.5,False
G1b+G2+G3 N3 f160,18,16,"{'B': 7, 'F': 7, 'A': 2, 'E': 1, 'tim': 1}",1,0.0,1.75,5,2,11.1,2.7,67.5,0.0,4.3,0.0,6.3,25.1,False
G1b+G2 N4 f160,14,13,"{'F': 7, 'B': 5, 'A': 2}",1,0.0,1.75,4,1,7.1,2.1,44.3,0.0,1.0,0.0,2.2,30.3,False
