state,rise,metric,n,p10,p25,p50,p75,p90,p95,max,mean
CONFIRMED,all,intended,30,0.0,0.07,1.45,2.72,6.24,6.77,10.15,2.19
CONFIRMED,all,retro_need,30,0.0,0.0,1.26,1.85,3.24,3.58,3.94,1.24
CONFIRMED,all,delivered,30,0.0,0.0,1.19,2.4,4.1,5.0,6.0,1.59
CONFIRMED,real,intended,10,0.94,1.65,2.29,4.93,6.62,8.38,10.15,3.37
CONFIRMED,real,retro_need,10,1.06,1.43,1.81,3.22,3.38,3.58,3.77,2.13
CONFIRMED,real,delivered,10,0.0,1.18,2.15,2.5,4.1,4.58,5.05,2.08
CONFIRMED,fizzle,intended,20,0.0,0.0,0.72,2.02,4.75,6.41,7.09,1.61
CONFIRMED,fizzle,retro_need,20,0.0,0.0,0.23,1.37,2.03,2.2,3.94,0.79
CONFIRMED,fizzle,delivered,20,0.0,0.0,1.0,2.25,2.75,5.0,6.0,1.35
COMMITTED,all,intended,100,0.0,0.0,0.25,0.98,1.99,2.8,7.25,0.79
COMMITTED,all,retro_need,100,0.0,0.0,0.0,0.78,1.88,3.09,3.67,0.57
COMMITTED,all,delivered,100,0.0,0.0,0.0,0.5,0.75,0.8,1.3,0.25
COMMITTED,real,intended,49,0.0,0.0,0.28,1.28,2.13,5.22,7.25,1.01
COMMITTED,real,retro_need,49,0.0,0.0,0.14,0.77,3.05,3.34,3.67,0.72
COMMITTED,real,delivered,49,0.0,0.0,0.15,0.5,0.75,0.8,1.05,0.26
COMMITTED,fizzle,intended,51,0.0,0.0,0.18,0.88,1.62,2.51,3.78,0.58
COMMITTED,fizzle,retro_need,51,0.0,0.0,0.0,0.78,1.44,1.82,3.27,0.42
COMMITTED,fizzle,delivered,51,0.0,0.0,0.0,0.5,0.75,0.75,1.3,0.25
