user,h,n_fit,n_test,cov5,cov25,cov50,cov75,cov95
tim,30,3963,4075,4.1,24.9,51.8,79.3,95.8
tim,60,3945,4054,3.4,25.1,54.1,78.7,95.1
tim,90,3933,4053,3.5,28.3,55.7,79.7,95.2
A,30,4134,4172,5.8,24.8,48.9,73.2,95.0
A,60,4128,4158,5.9,24.2,48.8,73.6,95.6
A,90,4130,4161,4.8,23.6,48.2,74.6,94.8
B,30,3980,4109,2.6,22.1,48.4,77.3,95.9
B,60,3950,4073,3.3,22.6,46.8,77.8,95.4
B,90,3916,4049,3.5,26.0,47.8,77.8,95.1
C,30,3913,3781,6.0,27.5,53.9,79.8,96.5
C,60,3906,3771,4.4,27.0,55.3,79.8,97.5
C,90,3904,3757,5.4,27.5,53.5,82.3,98.2
D,30,4035,3962,4.9,30.1,55.2,79.5,95.3
D,60,4042,3941,3.8,30.0,54.7,81.2,96.1
D,90,4034,3919,3.8,30.9,55.9,81.3,96.9
E,30,4247,4178,5.1,24.6,49.2,72.7,93.7
E,60,4238,4165,4.4,26.0,49.7,72.2,94.2
E,90,4232,4162,4.4,26.6,50.6,72.3,94.9
F,30,3770,3803,4.9,25.2,49.9,73.8,94.2
F,60,3728,3784,7.1,27.9,50.5,73.0,93.6
F,90,3745,3774,6.8,27.2,50.7,74.4,93.0
H,30,991,910,2.6,23.5,50.8,78.0,93.1
H,60,989,894,3.9,26.3,54.4,73.8,92.6
H,90,991,884,5.1,27.1,52.3,71.9,93.0
